event_id,session_id,user_id,event_time,event_type,product_id
1,SESS_000001,530,2025-06-27 03:29:26,page_view,
2,SESS_000002,530,2025-06-27 20:19:34,page_view,
3,SESS_000003,270,2025-06-27 11:00:00,page_view,
4,SESS_000003,270,2025-06-27 11:01:06,product_view,1
5,SESS_000004,270,2025-06-27 10:13:56,page_view,
6,SESS_000004,270,2025-06-27 10:14:31,product_view,27
7,SESS_000005,270,2025-06-27 19:57:45,page_view,
8,SESS_000006,,2025-06-27 19:26:27,page_view,
9,SESS_000006,,2025-06-27 19:26:58,product_view,33
10,SESS_000007,270,2025-06-27 17:29:40,page_view,
11,SESS_000007,270,2025-06-27 17:30:59,product_view,28
12,SESS_000007,270,2025-06-27 17:32:43,add_to_cart,28
13,SESS_000007,270,2025-06-27 17:32:43,add_to_cart,21
14,SESS_000007,270,2025-06-27 17:35:41,purchase,
15,SESS_000008,530,2025-06-27 18:55:04,page_view,
16,SESS_000008,530,2025-06-27 18:55:19,product_view,14
17,SESS_000008,530,2025-06-27 18:56:36,add_to_cart,14
18,SESS_000009,270,2025-06-27 06:22:19,page_view,
19,SESS_000010,270,2025-06-27 08:27:21,page_view,
20,SESS_000011,530,2025-06-27 00:36:42,page_view,
21,SESS_000012,270,2025-06-27 14:53:26,page_view,
22,SESS_000012,270,2025-06-27 14:53:37,product_view,40
23,SESS_000013,530,2025-06-27 05:54:46,page_view,
24,SESS_000013,530,2025-06-27 05:55:03,product_view,32
25,SESS_000013,530,2025-06-27 05:56:07,add_to_cart,32
26,SESS_000013,530,2025-06-27 06:00:25,purchase,
27,SESS_000014,530,2025-06-27 02:33:01,page_view,
28,SESS_000015,,2025-06-27 11:57:33,page_view,
29,SESS_000016,530,2025-06-27 08:30:54,page_view,
30,SESS_000016,530,2025-06-27 08:32:13,product_view,43
31,SESS_000017,270,2025-06-27 18:11:05,page_view,
32,SESS_000017,270,2025-06-27 18:12:21,product_view,29
33,SESS_000017,270,2025-06-27 18:15:07,add_to_cart,29
34,SESS_000018,,2025-06-27 02:28:49,page_view,
35,SESS_000018,,2025-06-27 02:29:10,product_view,36
36,SESS_000019,270,2025-06-28 12:02:10,page_view,
37,SESS_000019,270,2025-06-28 12:02:59,product_view,13
38,SESS_000020,530,2025-06-28 07:52:09,page_view,
